***
***   Moller results 01/24/2009
***
* run    - run number
* time   - run start time
* Ebc    - Beam energy from HALLA:p
* Pbmeas - Beam polarization measured
* Pb5892  - Beam polarization corrected on 5892MeV
* Err    - Statistical error
*
*time      run    Ebc     Pbmeas   Pb5892   Err
***    Target 2 cur=0.5uA
1  12.57  13097  5892.55  -80.41  -79.37  0.41  
2  13.00  13098  5892.55  -79.31  -78.27  0.40
3  13.04  13099  5892.55  -79.77  -78.73  0.42
4  13.08  13100  5892.7   -79.61  -78.29  0.41
***  Average              -79.77  -78.66  0.21
***  Chi2                   1.30    1.60
***    Target 3 cur=0.5uA   
5  13.12  13101  5892.7   -77.77  -76.45  0.56
6  13.15  13102  5892.6   -78.88  -77.48  0.56
7  13.19  13103  5892.5   -76.77  -75.82  0.54
8  13.23  13104  5892.4   -78.12  -77.36  0.54
***  Average              -77.87  -76.77  0.28
***  Chi2                   2.55    2.07
***    Target 5 cur=0.8uA   
9  13.40  13105  5891.35  -78.62  -79.86  0.49
10 13.46  13106  5891.4   -78.69  -79.85  0.46
11 13.51  13107  5891.35  -79.51  -80.77  0.47
12 13.57  13108  5891.25  -77.70  -79.16  0.46
***  Average              -78.62  -79.90  0.24
***  Chi2                   2.54    2.01
***    Target 4 cur=0.8uA   
13 14.03  13109  5891.25  -77.98  -79.44  0.43
14 14.08  13110  5891.3   -78.37  -79.73  0.44
15 14.13  13111  5891.3   -79.01  -80.37  0.44
16 14.19  13112  5891.33  -78.61  -79.91  0.45
***  Average              -78.49  -79.86  0.22    
***  Chi2                   0.98    0.80
***************************************************
*** Average for  targets 4 and 5 
***  Average               -78.55  -79.88  0.16                       
***  Chi2                    1.53    1.21
****************************************************
