***
***   Moller results 02/19/2009
***
* run    - run number
* time   - run start time
* Ebc    - Beam energy from HALLA:p
* Pbmeas - Beam polarization measured
* Pb5892  - Beam polarization corrected on 5892MeV
* Err    - Statistical error
*
*time      run    Ebc    Pbmeas   Pb5892   Err
*** Target 5 0.Beam current=8uA Thr=150mV
*** No energy lock
1  20.49  13192  5891.6  -71.79  -72.80  1.02
***    Target 5 Beam cur=0.8uA  Thr=300nV
2  20.52  13193  5891.7  -74.00  -74.66  0.47
3  20.57  13194  5892.1  -74.64  -74.42  0.49
4  21.03  13195  5892.1  -74.89  -74.67  0.47
5  21.08  13196  5891.8  -73.55  -73.99  0.47
***  Average             -74.26  -74.44  0.24                           
***  Chi2                  1.66    0.46
***    Target 4 Beam cur=0.8uA
6  21.18  13197  5891.3  -72.36  -73.92  0.44 
7  21.24  13198  5891.2  -73.41  -75.20  0.45
8  21.29  13199  5891.3  -72.93  -74.49  0.44
9  21.35  13200  5891.6  -73.60  -74.49  0.44
***  Average             -73.07  -74.52  0.22                           
***  Chi2                  1.58    1.38
*** Average without energy lock
***  Average             -73.58  -74.44  0.16                           
***  Chi2                  3.29    1.03
*******************************
*** Energy lock on ARC2 by PID programm
***    Target 5 Beam cur=1.0uA
10 21.58  13201  5892.1  -75.53  -75.31  0.43
11 22.04  13202  5892.0  -75.44  -75.44  0.43
12 22.09  13203  5892.0  -73.65  -73.65  0.43
13 22.14  13204  5891.9  -74.66  -74.88  0.42
***  Average             74.82   -74.82  0.21                           
***  Chi2                 4.12     3.60
***    Target 4 Beam cur=1.0uA
14 22.21  13206  5891.9  -74.46  -74.68  0.40
15 22.26  13207  5892.0  -74.27  -74.25  0.40
16 22.32  13208  5892.1  -74.12  -73.90  0.40
17 22.36  13209  5892.1  -74.10  -73.88  0.40
***  Average             -74.24  -74.18  0.20                           
***  Chi2                  0.17    0.88
*** Average with energy lock
***  Average             -74.51  -74.48  0.15                           
***  Chi2                  2.40    2.61

***************************************************
*** Average for all  targets 
***  Average             -74.11  -74.48  0.11                  
***  Chi2                  3.76    1.59
****************************************************
