***
***   Moller results 02/09/2009
***
* run    - run number
* time   - run start time
* Ebc    - Beam energy from HALLA:p
* Pbmeas - Beam polarization measured
* Pb1230  - Beam polarization corrected on 1230MeV
* Err    - Statistical error
*
*time      run    Ebc     Pbmeas   Pb1230   Err
***    Target 5 cur=0.7uA
1  12.07  13152  1230.35  -73.18  -73.31  0.53      
2  12.12  13153  1230.30  -72.98  -73.09  0.46
3  12.20  13154  1230.35  -71.01  -71.13  0.65
4  12.27  13155  1230.45  -72.80  -72.96  0.66
5  15.08  13160  1230.05  -72.69  -72.71  0.54
6  15.13  13161  1229.95  -72.21  -72.19  0.53
***  Average              -72.57  -72.66  0.22        
***  Chi2                  1.70     1.78
***    Target 4 cur=0.7uA
7  15.21  13162  1230.00  -71.29  -71.29  0.50
8  15.28  13163  1230.02  -72.03  -72.04  0.48
9  15.32  13164  1230.07  -70.88  -70.90  0.51
10 15.39  13165  1230.06  -72.34  -72.36  0.58
***  Average              -71.60  -71.62  0.27        
***  Chi2                   1.60    1.61
***    Target 4 cur=0.7uA
11 15.46  13166  1230.12  -71.07  -71.12  0.40
12 15.50  13167  1230.15  -70.58  -70.63  0.44
13 16.02  13169  1230.20  -70.93  -71.00  0.41
14 16.07  13170  1230.15  -70.75  -70.80  0.43
***  Average              -70.85  -70.90  0.21        
***  Chi2                   0.26    0.26
*** Average for all targets
***  Average              -71.64  -71.69  0.13          
***  Chi2                   3.53    3.64
****************************************************
