***
***   Moller results 12/17/2008
***
* run    - run number
* time   - run start time
* Ebc    - Beam energy from HALLA:p
* Pbmeas - Beam polarization measured
* Pb5892  - Beam polarization corrected on 5892MeV
* Err    - Statistical error
* time - PM
*  time   run    Ebc    Pbmeas  Pb5892   Err
***    Target 5 cur=0.45uA Thr=300mV
1  10.52  13039  5892.5  -79.37  -78.39  0.68 
2  10.57  13040  5892.5  -79.83  -78.84  0.72
3  11.01  13041  5892.6  -79.28  -78.11  0.72
4  11.05  13042  5892.6  -80.90  -79.71  0.73
***  Average             -79.82  -78.75  0.36
***  Chi2                  1.06    0.94
***    Target 4 cur=0.45uA
5  11.11  13043  5892.6  -78.97  -77.80  0.76
6  11.15  13044  5892.6  -80.13  -78.95  0.73
7  11.19  13045  5892.6  -78.59  -77.43  0.70
8  11.23  13046  5892.7  -80.39  -79.01  0.70
***  Average             -79.53  -78.30  0.36
***  Chi2                  1.51    1.27
***    Target 3 cur=0.45uA
9  11.28  13047  5892.7  -79.04  -77.69  0.64 
10 11.31  13048  5892.6  -79.57  -78.40  0.67
11 11.34  13049  5892.6  -77.67  -76.52  0.72
12 11.37  13050  5892.55 -78.26  -77.20  0.65 
***  Average             -78.67  -77.49  0.33
***  Chi2                  1.49    1.32
***    Target 2 cur=0.45uA
13 11.42  13051  5892.55  -80.05  -78.96  0.38
14 11.47  13052  5892.55  -80.46  -79.37  0.32
***  Average              -80.29  -79.20  0.25
***  Chi2                   0.68    0.68
**************************************************     
*** Average for targets 2,4,5 
***  Average              -80.00  -78.86  0.18
***  Chi2                   1.31    1.30
***************************************************
