 Spin precession for E_linac= 0.420000  Passes:A=2 B=5 C=3   Wien angle=   0.00
 Hall   zero(deg) prec.angle(deg)                    D(angle) (degrees)
                              D(E)/E linac   Linac asymm.   D(E)/E inject  D(arc) rad   
                                0.0010         0.0010         0.0010         0.0030  
  --------------------------------------------------------------------------------
  A       -64.28    1234.28      1.23           0.34           0.06           0.34     
  B       -64.12    7894.12      7.89           0.86           0.17           0.00     
  C       -21.50    2451.50      2.45           0.51           0.09          -0.50     
  A-B              -6659.84     -6.66          -0.51          -0.11           0.34     
  A-C              -1217.22     -1.22          -0.17          -0.03           0.84     
  B-C               5442.62      5.44           0.34           0.08           0.50     
  --------------------------------------------------------------------------------

 Spin precession for E_linac= 0.420000  Passes:A=5 B=3 C=4   Wien angle=   0.00
 Hall   zero(deg) prec.angle(deg)                    D(angle) (degrees)
                              D(E)/E linac   Linac asymm.   D(E)/E inject  D(arc) rad   
                                0.0010         0.0010         0.0010         0.0030  
  --------------------------------------------------------------------------------
  A       -65.57    8255.57      8.26           0.86           0.18           0.83     
  B       -59.97    2669.97      2.67           0.51           0.10           0.00     
  C       -58.96    4648.96      4.65           0.69           0.13          -0.66     
  A-B               5585.59      5.59           0.34           0.08           0.83     
  A-C               3606.61      3.61           0.17           0.05           1.49     
  B-C              -1978.98     -1.98          -0.17          -0.03           0.66     
  --------------------------------------------------------------------------------
