***
***   Moller results 11/20/2008
***
* run    - run number
* time   - run start time
* Ebc    - Beam energy from HALLA:p
* Pbmeas - Beam polarization measured
* Pb5892  - Beam polarization corrected on 5892MeV
* Err    - Statistical error
* time - PM
*  time   run    Ebc    Pbmeas   Pb5892   Err
***    Target 5 cur=0.5uA Thr=50mV
1  0.56  12935  5889.7  -75.18  -79.68  0.67   
2  1.05  12936  5890.1  -74.07  -77.76  0.64
3  1.09  12937  5890.7  -73.79  -76.28  0.65
4  1.13  12938  5890.7  -73.91  -76.40  0.66
***  Average             -74.23  -77.51  0.33
***  Chi2                  0.92    5.68
***    Target 5 cur=0.5uA Thr=150mV
5  1.17  12939  5890.7  -74.98  -77.47  0.68
6  1.21  12940  5890.6  -75.62  -78.31  0.67
7  1.25  12941  5891.5  -75.73  -78.62  0.61
8  1.30  12942  5891.4  -76.78  -79.87  0.67
***  Average            -75.78  -78.58  0.33
***  Chi2                 1.23    2.18
***    Target 5 cur=0.5uA Thr=300mV
9  1.35  12943  5890.8  -74.24  -76.53  0.71 
10 1.39  12944  5890.2  -74.12  -77.61  0.78
11 1.44  12945  5890.3  -74.78  -78.07  0.70
12 1.48  12946  5890.5  -74.81  -77.70  0.75
***  Average            -74.50  -77.47  0.37
***  Chi2                 0.23    0.87
***    Target 5 cur=0.5uA Thr=400mV
*  2.04  12948  5889.7  -70.25  -74.75  3.46 
***    Target 5 cur=0.5uA Thr=350mV
13 2.12  12949  5890.4  -75.84  -78.87  0.76   
14 2.19  12950  5889.9  -74.09  -78.18  0.86
15 2.23  12951  5890.0  -73.76  -77.65  0.86
16 2.27  12952  5890.6  -74.87  -77.56  0.71
***  Average            -74.73  -78.06  0.40 
***  Chi2                 1.33    0.63
***    Target 5 cur=0.5uA Thr=300mV
17 2.36  12954  5890.7  -72.59  -75.08  0.82   
18 2.40  12955  5891.1  -73.98  -74.30  0.74
***  Average            -73.36  -74.65  0.55
***  Chi2                 1.58    0.50
*******************************************
***  Average  Target 5 Delay=300
***  Average            -74.15  -76.60  0.31
***  Chi2                 1.06    4.27
***  Average  Target 5 Delays=50,150,300,350           
***  Average            -74.70  -77.72  0.17
***  Chi2                 1.88    4.95
*******************************************
***    Target 4 cur=0.5uA Thr=300mV
19 2.52  12957  5890.6  -73.56  -76.25  0.65
20 2.57  12958  5890.3  -74.27  -77.56  0.65
21 3.01  12959  5890.6  -73.07  -75.59  0.98
22 3.04  12960  5890.9  -72.56  -74.66  0.99
***  Average            -73.58  -76.37  0.38
***  Chi2                 0.82    2.33
***    Target 3 cur=0.5uA Thr=300mV
23 3.07  12961  5891.3  -73.68  -75.00  0.67
24 3.10  12962  5891.2  -74.84  -76.36  0.65
25 3.13  12963  5890.7  -72.65  -75.14  0.66
26 3.17  12964  5890.6  -72.35  -75.04  0.65
***  Average            -73.38  -75.39  0.33
***  Chi2                 2.99    1.00
***    Target 2 cur=0.5uA Thr=300mV
27 3.21  12965  5890.1  -74.10  -77.79  0.48 
28 3.23  12966  5890.4  -74.79  -77.82  0.48
29 3.27  12967  5890.5  -74.68  -77.52  0.44
30 3.30  12968  5890.4  -74.35  -77.43  0.48
***  Average            -74.49  -77.63  0.24
***  Chi2                 0.23    0.17
***************************************************
*** Average for  targets 2,3,4,5 (all thresholds)
***  Average             -74.36  -77.21  0.12       
***  Chi2                  2.14    4.24    
*** Average for  targets 2,3,4,5 threshold=300mV
***  Average             -74.04  -76.74  0.15    
***  Chi2                  1.60    3.79
*** Average for  targets 2,4,5 (300mV)
***  Average             -74.21  -77.08  0.17  
***  Chi2                  1.02    3.11
****************************************************
