***
***   Moller results 03/06/2009
***
* run    - run number
* time   - run start time
* Ebc    - Beam energy from HALLA:p
* Pbmeas - Beam polarization measured
* Pb4730  - Beam polarization corrected on 4730.1MeV
* Err    - Statistical error
*
*time     run    Ebc     Pbmeas  Pb4730   Err
***    Target 5 cur=1uA  
1  18.49  13252  4728.6  67.04  64.80  0.40 
2  18.56  13253  4729.6  65.07  64.31  0.40
3  19.02  13254  4729.0  66.50  64.85  0.39
4  19.07  13255  4729.3  65.42  64.22  0.39
***  Average             66.01  64.55  0.20       
***  Chi2                 5.34   0.69
***    Target 5 cur=1uA 
***   Trigger: LLG+RLG no apperture
5  19.12  13256  4729.3  65.46  64.25  0.39
6  19.17  13257  4729.3  65.76  64.55  0.40
7  19.22  13258  4729.3  65.49  64.28  0.40
8  19.29  13259  4729.3  65.56  64.35  0.40
***  Average             65.57  64.36  0.20  
***  Chi2                 0.12   0.12
***    Target 4 cur=1uA
9  19.35  13260  4729.2  63.76  62.45  0.37
10 19.40  13261  4729.2  65.21  63.87  0.37
11 19.45  13262  4729.1  64.09  62.63  0.37
12 19.50  13263  4729.1  64.54  63.07  0.38
***  Average             64.40  63.00  0.19        
***  Chi2                 2.87   2.92
***    Target 5 cur=1uA 
13 19.55  13264  4729.1  65.11  63.63  0.41
14 20.00  13265  4729.2  65.64  64.29  0.39 
***  Average             65.39  63.98  0.28      
***  Chi2                 0.88   1.36
*** Average for all targets
***  Average             65.30  63.94  0.10      
***  Chi2                 4.92   3.97
****************************************************
