***
***   Moller results 11/28/2008
***
* run    - run number
* time   - run start time
* Ebc    - Beam energy from HALLA:p
* Pbmeas - Beam polarization measured
* Pb5892  - Beam polarization corrected on 5892MeV
* Err    - Statistical error
* time - PM
*  time   run    Ebc    Pbmeas  Pb5892   Err
***    Target 5 cur=0.45uA Thr=300mV
1  12.44  12971  5892.5  80.66  79.76  0.78   
2  12.50  12972  5892.7  80.61  79.35  0.69
3  12.55  12973  5892.8  81.90  80.47  0.70
4  12.59  12974  5892.9  81.69  80.08  0.72 
***  Average             81.23  79.92  0.36
***  Chi2                 0.89   0.46
***    Target 4 cur=0.45uA 
5  13.03  12975  5892.7  80.62  79.36  0.78
6  13.08  12976  5892.7  80.88  79.62  0.66
7  13.12  12977  5892.9  81.93  80.32  0.60
***  Average             81.25  79.85  0.39  
***  Chi2                 1.13   0.57
***    Target 4 cur=0.5uA 
8  13.17  12978  5892.9  81.08  79.47  0.67
9  13.21  12979  5892.9  81.48  79.87  0.68
10 13.25  12980  5892.8  80.97  79.71  0.69
***  Average             81.17  79.68  0.39
***  Chi2                 0.16   0.09
*** Average Target 4 0.45 and 0.5uA
***  Average             81.21  79.76  0.28
***  Chi2                 0.52   0.28
***    Target 3 cur=0.45uA 
11 13.29  12981  5892.9  77.89  76.28  0.57   
12 13.34  12982  5892.9  78.20  76.59  0.58
13 13.37  12983  5892.8  78.48  76.95  0.63
14 13.41  12984  5894.2  78.68  74.88  0.64
***  Average             78.28  76.21  0.30
***  Chi2                 0.33   1.53
***    Target 2 cur=0.45uA
15 13.46  12985  5894.2  80.87  77.07  0.38
16 13.50  12986  5894.2  81.02  77.22  0.39
17 13.54  12987  5894.0  81.22  77.75  0.38
18 13.58  12988  5893.6  80.39  77.58  0.37
***  Average             80.87  77.41  0.19
***  Chi2                 0.89   0.68 
***    Target 5 cur=0.45uA 
19 14.03  12989  5893.4  81.53  79.06  0.73
20 14.07  12990  5893.0  80.93  79.15  0.73
***  Average             81.23  79.11  0.52
***  Chi2                 0.34   0.01
***    Target 3 cur=0.7uA 
21 14.16  12991  5892.4  78.38  77.67  0.56
22 14.19  12992  5892.5  79.32  78.42  0.58
23 14.22  12993  5892.5  79.05  78.15  0.60
24 14.25  12994  5892.5  77.44  76.54  0.73
***  Average             78.65  77.80  0.30
***  Chi2                 1.59   1.50
***    Target 5 cur=0.7uA 
25 14.28  12995  5892.6  80.06  78.98  0.58 
26 14.32  12996  5892.6  80.02  78.94  0.60
***  Average             80.04  78.96  0.42
***  Chi2                 0.01   0.01
***************************************************
*** Average for all 2,3,4,5 
***  Average             80.26  78.08  0.11    
***  Chi2                 4.74   6.05
*** Average for targets 4,5 
***  Average             80.97  79.64  0.19 
***  Chi2                 1.05   0.57
****************************************************
