***
***   Moller results 12/09/2008
***
* run    - run number
* time   - run start time
* Ebc    - Beam energy from HALLA:p
* Pbmeas - Beam polarization measured
* Pb5892  - Beam polarization corrected on 5892MeV
* Err    - Statistical error
* time - PM
*  time   run    Ebc    Pbmeas  Pb5892   Err
***    Target 5 cur=0.5uA Thr=300mV
1  18.20  13015  5891.7  78.30  78.90  0.54
2  18.26  13016  5891.7  80.34  80.96  0.51
3  18.33  13017  5891.7  79.52  80.13  0.61
4  18.39  13018  5891.7  79.62  80.23  0.52
***  Average             79.47  80.08  0.27
***  Chi2                 2.57   2.61
***    Target 4 cur=0.5uA 
5  18.48  13019  5891.7  80.39  81.01  0.64
6  18.53  13020  5891.7  79.69  80.30  0.63
7  18.57  13021  5891.7  79.03  79.64  0.64
8  19.02  13022  5891.7  78.46  79.07  0.60
***  Average             79.36  79.98  0.31
***  Chi2                 1.79   1.81
***    Target 3 cur=0.5uA 
9  19.09  13023  5894.1  76.48  72.80  0.54
10 19.13  13024  5894.1  78.38  74.61  0.55
11 19.17  13025  5894.1  77.50  73.77  0.48
12 19.22  13026  5894.1  77.77  74.03  0.54
***  Average             77.52  73.79  0.26
***  Chi2                 2.12   1.92
***    Target 2 cur=0.5uA 
13 19.28  13027  5894.1  80.18  76.32  0.38
14 19.31  13028  5892.7  78.58  74.80  0.38
15 19.35  13029  5892.7  79.53  75.70  0.28
16 19.39  13030  5892.7  78.96  75.16  0.33
***  Average             79.33  75.51  0.17
***  Chi2                 3.56   3.21
***    Target 5 cur=0.8uA 
17 19.48  13031  5892.0  79.14  79.14  0.55
18 19.51  13032  5892.0  78.80  79.14  0.51
19 19.56  13033  5891.9  78.98  79.18  0.53
20 20.00  13034  5891.8  77.91  78.31  0.54
***  Average             78.71  78.95  0.27  
***  Chi2                 1.03   0.62
**************************************************     
*** Average for targets 4,5 
***  Average             79.16  79.76  0.16
***  Chi2                 1.89   0.23
***************************************************
