***
***   Moller results 02/07/2009
***
* run    - run number
* time   - run start time
* Ebc    - Beam energy from HALLA:p
* Pbmeas - Beam polarization measured
* Pb5892  - Beam polarization corrected on 5892MeV disbalance
* Err    - Statistical error
*
*time      run    Ebc     Pbmeas   Pb5892   Err
***    Target 5 cur=0.8uA
1  12.18  13131  5890.45  -76.63  -79.70  0.46  
2  12.23  13132  5890.00  -76.61  -80.60  0.45
3  12.28  13133  5889.60  -74.67  -78.39  0.46
4  12.33  13134  5889.20  -74.53  -80.21  0.45
5  12.38  13135  5889.30  -74.82  -79.07  0.46
6  12.45  13136  5889.60  -74.10  -78.93  0.46
7  12.51  13137  5889.75  -74.91  -78.38  0.46
8  12.56  13138  5889.90  -76.80  -79.43  0.46
***  Average              -75.39  -79.35  0.16                
***  Chi2                   5.80    3.14
***    Target 4 cur=0.8uA   
9  13.08  13139  5890.20  -75.18  -78.76  0.55
10 13.19  13140  5890.00  -75.37  -79.37  0.42
11 13.24  13141  5889.85  -75.59  -79.90  0.42
12 13.29  13142  5889.80  -75.53  -79.94  0.42
***  Average              -75.45  -79.58  0.22                 
***  Chi2                   0.14    1.26
***    Target 2 cur=0.4uA   
13 13.37  13143  5892.60  -75.33  -74.20  0.37
14 13.41  13144  5892.60  -75.15  -74.02  0.37
15 13.45  13145  5892.80  -75.42  -73.92  0.38
16 13.49  13146  5893.20  -75.99  -73.76  0.37
***  Average              -75.47  -73.98  0.19
***  Chi2                   1.00    0.25
*** Average for  targets 4,5
***  Average              -75.41  -79.43  0.13                     
***  Chi2                   3.73    2.41
****************************************************
